insight_table,insight_type,transcript_id,call_type,theme,risk_score,reason,suggested_owner,example_excerpt,why_it_matters,requested_capability,frequency,impacted_call_types,example_excerpts,customer_or_account,risk_terms,sentiment_label,suggested_action,stakeholder,primary_question,top_relevant_theme,relevant_transcripts,negative_transcripts,recommended_action,customer_facing_theme,customer_facing_count,internal_discussion_count,alignment_status
feature_requests,Feature Request Mining,,,,,,,,Gives PMs roadmap evidence grounded in customer language rather than anecdote.,authentication and admin controls,31.0,"{""support"": 14, ""internal"": 5, ""external"": 12}","01KQ0C1280EDA4E70AAD7C35: Gregory Fisk, IT Director at Summit Trust, called regarding a billing discrepancy on his January invoice showing 1,400 seats for Aegis Identity when their contract specifies 1,200 seats. Sarah Chen investigated and traced the overage to app | 01KQ1267C6AA7D9B3125FEC8: Raj Kapoor convened a meeting with Tyler, Ravi, Brian, and Mike to prepare for an upcoming SOC 2 Type II audit with a 90-day observation period starting March 1st. The team reviewed key control areas including access control, change managem | 01KQ1DE954A807A5D2653175: Megan and Chris conducted a launch readiness review for Comply v2, targeting an April 7th release. A recent Detect outage pulled two engineers off the project for four days, causing a 5-6 day slip on the HIPAA and ISO 27001 reporting engine",,,,,,,,,,,,,,
feature_requests,Feature Request Mining,,,,,,,,Gives PMs roadmap evidence grounded in customer language rather than anecdote.,automation and workflow,29.0,"{""external"": 12, ""internal"": 5, ""support"": 12}","01KQ0DFE299AC7A74E8022CA: Daniel Okafor and solutions architect Kevin O'Brien met with Thomas Hargrove of Redwood to introduce Comply v2 and discuss support for their ISO 27001 certification journey. Thomas shared that Redwood is in early stages of ISO prep, with a  | 01KQ1267C6AA7D9B3125FEC8: Raj Kapoor convened a meeting with Tyler, Ravi, Brian, and Mike to prepare for an upcoming SOC 2 Type II audit with a 90-day observation period starting March 1st. The team reviewed key control areas including access control, change managem | 01KQ25D8AED944B5D2A9FF60: Jason Hoffman from Meridian contacted Aegis support (Sarah Chen) regarding the lack of granular file-level restore capabilities in Aegis Protect. An analyst had accidentally overwritten config files on an EBS-backed EC2 trading platform, re",,,,,,,,,,,,,,
feature_requests,Feature Request Mining,,,,,,,,Gives PMs roadmap evidence grounded in customer language rather than anecdote.,billing and pricing visibility,24.0,"{""support"": 10, ""external"": 12, ""internal"": 2}","01KQ0C1280EDA4E70AAD7C35: Gregory Fisk, IT Director at Summit Trust, called regarding a billing discrepancy on his January invoice showing 1,400 seats for Aegis Identity when their contract specifies 1,200 seats. Sarah Chen investigated and traced the overage to app | 01KQ0F8AFF3DA34FD4580008: Lisa Park (CSM) met with Lauren Bishop to discuss the upcoming June renewal, address the March Detect outage, and review the recently released Comply v2. Lauren was candid about internal concerns raised by the six-hour outage and noted that | 01KQ1DC6CA536DE1B31ED8F5: Rachel Torres and Maria Santos from Aegis met with Wayne Keller of Atlas to discuss the upcoming end-of-March contract renewal and billing concerns. Wayne's finance team flagged overage charges on the Aegis Detect module for January and Feb",,,,,,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ1DCC80852AE384C898C9,external,,13.0,,,"Maria Santos met with Brianna Foster and Leo Marquez to address a serious six-hour outage on March 10-11 that caused a loss of visibility in Aegis Detect, breaching their 99.5% uptime SLA. The customer expressed eroded confidence in platform reliability and re",,,,,,Quantumedge,"renewal, competitor, pricing, budget, contract, trust, confidence, sla",negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ351E141926AB7CAB668D,external,,8.0,,,"Grace Yoon (Northstar) called with serious concerns after a six-hour outage of Aegis Detect left her security team with zero threat monitoring visibility in a HIPAA-regulated pharma environment. This was the second reliability incident in eight months, prompti",,,,,,Northstarpharma,"renewal, cancel, confidence, risk, sla",negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ45C76AF3AEA6B3EA6697,external,,8.0,,,"Daniel Okafor and Sofia Petrov met with Harold Jensen to discuss the upcoming renewal of a three-module cybersecurity platform contract (Protect, Detect, and Comply) ahead of an April 30th deadline. Harold raised concerns about a recent six-hour outage that le",,,,,,Steelpointmfg,"renewal, competitor, pricing, contract, confidence, sla",neutral,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ5A966832A146DA4B7D41,support,,8.0,,,"Maria Santos (CSM) met with Alicia Monroe from Summit Trust to address concerns ahead of their upcoming renewal. Alicia raised critical issues with Aegis Identity, including inconsistent MFA enforcement in their loan origination system and internal reporting p",,,,,,Summittrust,"renewal, competitor, pricing, trust, confidence, risk",neutral,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ410FB7E434BA3F99EE7D,support,,7.0,,,"Aisha Johnson (CSM) held a renewal planning call with Ryan Caldwell and Mina Joshi ahead of their end-of-May contract anniversary. The customer expressed strong overall satisfaction with the platform, particularly with the Identity and Comply v2 modules, while",,,,,,Axiomlabs.Dev,"renewal, pricing, contract, trust, procurement",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ8C5A044F54EE1774D53C,external,,7.0,,,Maria Santos and Kevin O'Brien from Aegis held an urgent call with Charles Ng from Helix to address a six-hour outage in their threat monitoring pipeline caused by a single point of failure in the event ingestion system. Charles expressed significant frustrati,,,,,,Helixdata,"competitor, confidence, risk, sla",negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ56AA6B60801ABC01AB1C,support,,6.0,,,"Clearwater Medical's Ajay Mehta (Compliance Manager) and Natalie Simmons (IT Director) contacted Aegis Cloud Security to dispute a $4,000+ April invoice. The primary dispute involves $3,200 in Comply module overages tied to report generation during the v2 laun",,,,,,Clearwatermed,budget,negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ4D71CDFB1045A2458216,external,,6.0,,,"James Mitchell led a renewal call with Evelyn Park of Bridgeport, joined by Kevin O'Brien (Solutions Architecture) and Ravi Gupta (DevOps). Evelyn shared overall positive feedback on Aegis Protect and Identity modules, while raising concerns about a six-hour D",,,,,,Bridgeporthealth,"renewal, pricing, contract, trust",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ2D93184912F0147315E7,support,,6.0,,,Julia Tran from Blackridge Investments called Aegis Cloud Security support in a critical situation where her firm has had zero threat visibility for over three hours due to a known event processing pipeline failure. Marcus Williams confirmed the outage is a ca,,,,,,Blackridgeinvest,"competitor, trust, sla",negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ1DC6CA536DE1B31ED8F5,external,,6.0,,,"Rachel Torres and Maria Santos from Aegis met with Wayne Keller of Atlas to discuss the upcoming end-of-March contract renewal and billing concerns. Wayne's finance team flagged overage charges on the Aegis Detect module for January and February, which were ca",,,,,,Atlasprecision,"renewal, pricing, budget, contract",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQFFC0F889AE8CFEE7A00D,external,,6.0,,,"Aisha Johnson and engineer Ananya Sharma met with Julia Tran of Blackridge for a renewal check-in call. Julia expressed strong overall satisfaction with the platform, particularly praising Aegis Protect's performance during a Q4 disaster recovery tabletop exer",,,,,,Blackridgeinvest,"renewal, pricing, contract, trust",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ7FA71CF70FAFEE4B6251,support,,5.0,,,"Aisha Johnson (CSM) met with Stephanie Blair from Nova Retail ahead of their end-of-next-month renewal to assess account health. Stephanie expressed significant frustration stemming from a six-hour Aegis Detect outage on March 10th, ongoing compliance reportin",,,,,,Novaretail,"renewal, competitor, contract, confidence, sla",neutral,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ3D8C1EF16C042F31FAFD,external,,5.0,,,"Rachel Torres and Chris Lee held a renewal call with Isaac Brennan of Trailhead, covering fourteen months of experience with Protect and Detect. Isaac acknowledged a mid-March six-hour outage as a concern but praised the thorough post-mortem and the subsequent",,,,,,Trailheadmkt,"renewal, pricing, contract, trust, procurement",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ0C1280EDA4E70AAD7C35,support,,5.0,,,"Gregory Fisk, IT Director at Summit Trust, called regarding a billing discrepancy on his January invoice showing 1,400 seats for Aegis Identity when their contract specifies 1,200 seats. Sarah Chen investigated and traced the overage to approximately 200 test ",,,,,,Summittrust,"renewal, contract, trust",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQC3A2EBC501837E973B16,external,,5.0,,,"This was an onboarding kickoff call for Aegis Identity with Victor Zheng and Olivia Strand as the new customers, joined by James Mitchell (account manager) and Ananya Sharma (senior engineer, technical point of contact). The customer is migrating from Okta and",,,,,,Frostbyte,"budget, contract, sla",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQC1267BEB344076DD7656,external,,5.0,,,Maria Santos and Solutions Architect Kevin O'Brien met with Robert Langston and Tanya Desai (Security Engineering) to address a six-hour Detect platform outage and discuss contract renewal ahead of end-of-Q2. Kevin explained the root cause as a cascading singl,,,,,,Ironcladfinancial,"renewal, contract, confidence, risk, sla",neutral,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQEDB92E33CF9945A7F71B,support,,5.0,,,"Lauren Bishop, VP of Infrastructure at Cobalt Software, called Aegis Cloud Security support reporting that their Aegis Detect dashboard was completely down with no threat visibility for nearly an hour. David Kim investigated and confirmed a platform-wide casca",,,,,,Cobaltsoftware,"competitor, sla",negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ6A5CEAAFFBE3B0099E75,support,,5.0,,,"Harold Jensen, IT Director at Steelpoint Manufacturing, called regarding a 3-day-old unresolved LDAP sync failure with Aegis Identity affecting 200+ employees on a 24/7 manufacturing floor. Marcus Williams diagnosed the root cause as an SSL handshake failure c",,,,,,Steelpointmfg,"trust, confidence",negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ88B8EAEAA819C26CCBE7,support,,5.0,,,"Aegis Cloud Security support rep Elena Vasquez spoke with Grace Yoon and Frank Delaney (VP of IT) of Northstar, a pharmaceutical company, regarding a platform-wide outage of the Aegis Detect event processing pipeline that had been ongoing for approximately nin",,,,,,Northstarpharma,"competitor, contract",negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQBBF753B44DE677670E6D,support,,5.0,,,"Alicia Monroe (Risk Manager) and Gregory Fisk (IT Director) from Summit Trust contacted Aegis Cloud Security support regarding threat alert delays of 20-45 minutes in their Detect platform, which is critical given their financial services regulatory obligation",,,,,,Summittrust,"trust, risk",negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQA502E222E2A60330237B,external,,5.0,,,"Daniel Okafor led a Q1 business review with Yuki Tanaka of Pineridge, joined by Kevin O'Brien and Ananya Sharma. Yuki expressed strong overall satisfaction with the Aegis platform, particularly highlighting Aegis Detect's improved signal-to-noise ratio and a s",,,,,,Pineridge,"renewal, pricing, budget",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ773D68723289E4A98889,support,,5.0,,,"Kendra Wallace, CTO of Brightpath Commerce, contacted Aegis Cloud Security support regarding a $1,400 discrepancy on her February invoice. Marcus Williams identified an overage charge of 2.31 terabytes under the Aegis Protect module, which was traced to a back",,,,,,Brightpathcommerce,"renewal, pricing, contract",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQAEA50436D047BC39CFC7,support,,5.0,,,"Maria Santos met with Derek Owens of Crestline Wealth to discuss their upcoming renewal in late March 2026, approximately six weeks out. They reviewed usage across three modules (Protect, Detect, and Comply), with Derek noting data growth from 14TB to approxim",,,,,,Crestlinewealth,"renewal, pricing, contract",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ45F6F7349D0A620571F1,external,,4.0,,,"Aisha Johnson (Aegis) spoke with Kendra Wallace (Brightpath) about the state of their security vendor relationship, which has been under strain following a six-hour Aegis Detect outage in March. Kendra disclosed that Brightpath has been actively evaluating Sen",,,,,,Brightpathcommerce,"renewal, pricing, contract, confidence",neutral,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ0F8AFF3DA34FD4580008,external,,4.0,,,"Lisa Park (CSM) met with Lauren Bishop to discuss the upcoming June renewal, address the March Detect outage, and review the recently released Comply v2. Lauren was candid about internal concerns raised by the six-hour outage and noted that procurement is requ",,,,,,Cobaltsoftware,"renewal, pricing, contract, procurement",neutral,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ325BDEDEE927D2970775,support,,4.0,,,Priya Patel from Aegis support contacted Paula Schneider of Ridgeline (a manufacturing/logistics company) regarding a multi-day alert latency issue with the Aegis Detect product. Priya confirmed the problem was caused by a cascading failure in Aegis's event pr,,,,,,Ridgelinelogistics,sla,negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ94C2B8B9B4668F3D3491,support,,4.0,,,"Mark Ellison, Infrastructure Lead at Ridgeline Logistics, contacted Aegis Cloud Security support regarding a complete outage of his Detect dashboard that began around 11 PM on March 11th. Elena Vasquez and Sarah Chen confirmed this is a platform-side issue cau",,,,,,Ridgelinelogistics,sla,negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ7BF0D56037FF89DC89B6,support,,4.0,,,"Isaac Brennan, infrastructure lead at Trailhead Marketplace, called Aegis Cloud Security support in frustration over a complete 15+ hour outage of Aegis Detect's event processing pipeline, leaving his retail platform blind to threats. Elena Vasquez and David K",,,,,,Trailheadmkt,contract,negative,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQ6CAA850EAFDC48B52846,external,,4.0,,,"Maria Santos met with Catherine Page and Russell Tang to address serious concerns about Aegis following a six-hour monitoring outage in March that affected their manufacturing OT environment, poor communication during the incident, and gaps in compliance repor",,,,,,Ironworkscorp,"competitor, trust, confidence, sla",neutral,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
churn_risks,Churn / Renewal Risk Signals,01KQB632F1ADC378C42F2C03,support,,4.0,,,Michelle Tan and Dominic Flores from Silverline Brands contacted Aegis Cloud Security support regarding a billing discrepancy on their Comply v2 upgrade. They were overbilled $255 because the proration calculation started from April 1st instead of the upgrade ,,,,,,Silverlinebrands,"pricing, contract",positive,"CSM/AM should review renewal plan, acknowledge pain points, and align support/product follow-through.",,,,,,,,,,
stakeholder_views,,,,,,,,,,,,,,,,,,Support leader,Where are customers getting stuck and which issues need escalation?,Product bugs and technical reliability,67.0,22.0,Create a weekly negative-theme and escalation-risk review.,,,,
stakeholder_views,,,,,,,,,,,,,,,,,,Product manager,What are customers asking for and which pain points should shape roadmap priority?,Compliance and audit readiness,32.0,0.0,Validate top requests with PM taxonomy and attach examples to roadmap candidates.,,,,
stakeholder_views,,,,,,,,,,,,,,,,,,Sales / account manager,Which accounts show renewal risk or expansion opportunity?,"Renewal, pricing, and account risk",44.0,4.0,Trigger proactive account plays for high-risk renewal conversations.,,,,
stakeholder_views,,,,,,,,,,,,,,,,,,Engineering lead,Which technical problems recur and how do they map to internal execution?,Product bugs and technical reliability,56.0,21.0,Tie incident and bug clusters to reliability roadmap ownership.,,,,
product_engineering_gap,,,,,,,,,Shows whether internal planning appears to match repeated customer-facing transcript pain.,,,,,,,,,,,,,,,Feature requests and product feedback,6.0,0.0,gap to investigate
product_engineering_gap,,,,,,,,,Shows whether internal planning appears to match repeated customer-facing transcript pain.,,,,,,,,,,,,,,,"Onboarding, adoption, and enablement",1.0,0.0,gap to investigate
product_engineering_gap,,,,,,,,,Shows whether internal planning appears to match repeated customer-facing transcript pain.,,,,,,,,,,,,,,,Product bugs and technical reliability,38.0,6.0,aligned
product_engineering_gap,,,,,,,,,Shows whether internal planning appears to match repeated customer-facing transcript pain.,,,,,,,,,,,,,,,Compliance and audit readiness,22.0,3.0,aligned
product_engineering_gap,,,,,,,,,Shows whether internal planning appears to match repeated customer-facing transcript pain.,,,,,,,,,,,,,,,"Renewal, pricing, and account risk",15.0,1.0,aligned
product_engineering_gap,,,,,,,,,Shows whether internal planning appears to match repeated customer-facing transcript pain.,,,,,,,,,,,,,,,Internal engineering planning,3.0,5.0,aligned
